,24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),Trips over the past 24-hours (midnight to 11:59pm)
0,919,,51.0,24371025,1/1/2016,44606414,24429,159362,11009
1,877,,34.0,24385612,1/2/2016,44635507,29093,159403,14587
2,784,,27.0,24401111,1/3/2016,44665123,29616,159459,15499
3,166,,33.0,24420704,1/4/2016,44701295,36172,159502,19593
4,121,,22.0,24438757,1/5/2016,44733344,32049,159534,18053
5,265,,27.0,24463326,1/6/2016,44774340,40996,159564,24569
6,318,,24.0,24491099,1/7/2016,44820326,45986,159588,27773
7,364,,28.0,24519808,1/8/2016,44867387,47061,159621,28709
8,632,,20.0,24540654,1/9/2016,44904728,37341,159654,20846
9,391,,18.0,24554929,1/10/2016,44930132,25404,159682,14275
10,155,,32.0,24577866,1/11/2016,44967525,37393,159731,22937
11,151,,23.0,24603077,1/12/2016,45006483,38958,159761,25211
12,82,,15.0,24624210,1/13/2016,45038091,31608,159792,21133
13,123,,29.0,24647990,1/14/2016,45075386,37295,159813,23780
14,379,,27.0,24676425,1/15/2016,45121379,45993,159841,28435
15,803,,37.0,24695603,1/16/2016,45157170,35791,159885,19178
16,387,,22.0,24707627,1/17/2016,45177657,20487,159910,12024
17,123,,13.0,24720345,1/18/2016,45197655,19998,159931,12718
18,64,,12.0,24737626,1/19/2016,45224621,26966,159957,17281
19,126,,11.0,24761045,1/20/2016,45260098,35477,159972,23419
20,133,,15.0,24784716,1/21/2016,45296146,36048,159991,23671
21,115,,6.0,24805666,1/22/2016,45327490,31344,160004,20950
22,0,,0.0,24805666,1/23/2016,45327490,0,160005,0
23,0,,0.0,24805666,1/24/2016,45327490,0,160013,0
24,0,,0.0,24805666,1/25/2016,45327490,0,160020,0
25,0,,0.0,24805666,1/26/2016,45327490,0,160028,0
26,54,,6.0,24812426,1/27/2016,45341188,13698,160039,6760
27,81,,9.0,24824370,1/28/2016,45363502,22314,160053,11944
28,118,,27.0,24840398,1/29/2016,45390398,26896,160064,16028
29,328,,23.0,24853362,1/30/2016,45413748,23350,160084,12964
30,533,,17.0,24869474,1/31/2016,45445028,31280,160118,16112
31,202,,31.0,24893808,2/1/2016,45487408,42380,160160,24334
32,280,,31.0,24922335,2/2/2016,45535150,47742,160189,28527
33,63,,12.0,24938538,2/3/2016,45559375,24225,160216,16203
34,304,,24.0,24966303,2/4/2016,45606833,47458,160247,27765
35,102,,7.0,24979972,2/5/2016,45632371,25538,160257,13669
36,586,,35.0,24996905,2/6/2016,45671153,38782,160280,16933
37,622,,30.0,25014510,2/7/2016,45702677,31524,160316,17605
38,80,,20.0,25033536,2/8/2016,45731325,28648,160335,19026
39,156,,9.0,25056276,2/9/2016,45771523,40198,160364,22740
